Date,Open,High,Low,Close,ChannelLow,ChannelHigh,PivotType,PivotValue
2024-01-27 02:30:00,158.71,158.71,158.4,158.58,-1790.1555025876742,-1461.3435197794636,Undefined,0
2024-01-27 03:00:00,158.71,158.75,158.08,158.35,-1772.6138042536772,-1447.3297596042676,Undefined,0
2024-01-27 03:30:00,158.6,159.01,158.46,159.01,-1755.0721059196803,-1433.3159994290713,Undefined,0
2024-01-27 04:00:00,159.02,159.08,158.43,159.08,-1737.5304075856834,-1419.3022392538755,Undefined,0
2024-01-27 04:30:00,159.09,159.9,159.09,159.71,-1719.9887092516865,-1405.2884790786793,Undefined,0
2024-01-27 05:00:00,159.62,159.62,159.11,159.23,-1702.4470109176898,-1391.2747189034835,Undefined,0
2024-01-27 05:30:00,159.09,159.09,158.79,159.02,-1684.9053125836929,-1377.2609587282873,Undefined,0
2024-01-27 06:00:00,158.83,158.85,158.22,158.27,-1667.3636142496962,-1363.2471985530915,Undefined,0
2024-01-27 06:30:00,158.47,158.47,157.55,158.39,-1649.8219159156993,-1349.2334383778953,Low,157.549
2024-01-27 07:00:00,158.44,159.69,158.38,159.5,-1632.2802175817023,-1335.2196782026995,Undefined,0
2024-01-27 07:30:00,159.47,160.55,159.47,160.49,-1614.7385192477054,-1321.2059180275032,Undefined,0
2024-01-27 08:00:00,160.52,160.88,160.31,160.6,-1597.1968209137087,-1307.1921578523074,Undefined,0
2024-01-27 08:30:00,160.41,161.32,159.9,161.22,-1579.6551225797118,-1293.1783976771112,Undefined,0
2024-01-27 09:00:00,161.06,162.05,161.06,161.12,-1562.113424245715,-1279.1646375019154,High,162.051
2024-01-27 09:30:00,161.12,161.12,159.69,159.7,-1544.5717259117182,-1265.1508773267192,Undefined,0
2024-01-27 10:00:00,159.69,160.23,159.68,159.68,-1527.0300275777213,-1251.1371171515234,Undefined,0
2024-01-27 10:30:00,159.75,160.49,159.68,160.01,-1509.4883292437244,-1237.1233569763272,Undefined,0
2024-01-27 11:00:00,159.94,160.8,159.83,160.46,-1491.9466309097274,-1223.1095968011314,Undefined,0
2024-01-27 11:30:00,160.6,160.69,160.28,160.28,-1474.4049325757308,-1209.0958366259351,Undefined,0
2024-01-27 12:00:00,160.46,160.48,159.96,159.96,-1456.8632342417338,-1195.0820764507394,Undefined,0
2024-01-27 12:30:00,159.99,160.53,159.99,160.37,-1439.321535907737,-1181.068316275543,Undefined,0
2024-01-27 13:00:00,160.3,161.36,160.3,161.36,-1421.7798375737402,-1167.0545561003473,Undefined,0
2024-01-27 13:30:00,161.38,161.44,160.28,160.45,-1404.2381392397433,-1153.040795925151,High,161.441
2024-01-27 14:00:00,160.5,160.7,160.0,160.0,-1386.6964409057464,-1139.027035749955,Undefined,0
2024-01-27 14:30:00,159.98,160.44,159.92,160.3,-1369.1547425717497,-1125.013275574759,Undefined,0
2024-01-27 15:00:00,160.3,160.67,160.17,160.55,-1351.6130442377528,-1110.999515399563,Undefined,0
2024-01-27 15:30:00,160.68,160.95,160.6,160.6,-1334.0713459037559,-1096.985755224367,Undefined,0
2024-01-27 16:00:00,160.44,160.74,160.38,160.71,-1316.529647569759,-1082.971995049171,Undefined,0
2024-01-27 16:30:00,160.79,161.3,160.79,160.94,-1298.9879492357622,-1068.958234873975,Undefined,0
2024-01-27 17:00:00,160.78,160.8,160.42,160.8,-1281.4462509017653,-1054.944474698779,Undefined,0
2024-01-27 17:30:00,160.78,161.4,160.0,160.02,-1263.9045525677684,-1040.930714523583,High,161.401
2024-01-27 18:00:00,160.32,160.32,159.59,159.72,-1246.3628542337717,-1026.916954348387,Undefined,0
2024-01-27 18:30:00,159.73,159.73,158.79,159.15,-1228.8211558997748,-1012.903194173191,Low,158.789
2024-01-27 19:00:00,159.24,159.84,159.15,159.84,-1211.2794575657779,-998.889433997995,Undefined,0
2024-01-27 19:30:00,159.76,159.77,159.12,159.19,-1193.7377592317812,-984.875673822799,Undefined,0
2024-01-27 20:00:00,159.44,159.53,159.04,159.44,-1176.1960608977843,-970.8619136476029,Undefined,0
2024-01-27 20:30:00,159.45,159.56,159.27,159.4,-1158.6543625637873,-956.8481534724069,Undefined,0
2024-01-27 21:00:00,159.55,159.88,159.18,159.64,-1141.1126642297904,-942.8343932972109,Undefined,0
2024-01-27 21:30:00,159.59,160.07,159.59,160.06,-1123.5709658957937,-928.8206331220149,Undefined,0
2024-01-27 22:00:00,160.1,160.15,159.78,160.15,-1106.0292675617968,-914.8068729468189,Undefined,0
2024-01-27 22:30:00,160.21,160.62,160.14,160.62,-1088.4875692278,-900.7931127716229,Undefined,0
2024-01-27 23:00:00,160.57,160.57,159.89,160.27,-1070.9458708938032,-886.7793525964269,Undefined,0
2024-01-27 23:30:00,160.03,160.03,159.58,159.97,-1053.4041725598063,-872.7655924212308,Undefined,0
2024-01-28 00:00:00,159.78,160.3,159.78,160.3,-1035.8624742258094,-858.7518322460348,Undefined,0
2024-01-28 00:30:00,160.24,160.63,160.24,160.55,-1018.3207758918124,-844.7380720708388,Undefined,0
2024-01-28 01:00:00,160.05,160.94,159.89,160.65,-1000.7790775578158,-830.7243118956428,Undefined,0
2024-01-28 01:30:00,160.55,161.22,160.36,160.97,-983.2373792238188,-816.7105517204468,Undefined,0
2024-01-28 02:00:00,161.06,161.5,160.63,160.63,-965.6956808898219,-802.6967915452508,Undefined,0
2024-01-28 02:30:00,160.77,160.77,160.35,160.71,-948.1539825558252,-788.6830313700548,Undefined,0
2024-01-28 03:00:00,160.68,160.7,160.26,160.7,-930.6122842218283,-774.6692711948588,Undefined,0
2024-01-28 03:30:00,160.8,161.02,160.57,160.96,-913.0705858878314,-760.6555110196628,Undefined,0
2024-01-28 04:00:00,160.86,161.77,160.86,161.51,-895.5288875538347,-746.6417508444667,Undefined,0
2024-01-28 04:30:00,161.44,161.7,161.44,161.48,-877.9871892198378,-732.6279906692707,Undefined,0
2024-01-28 05:00:00,161.4,161.62,161.29,161.34,-860.4454908858409,-718.6142304940747,Undefined,0
2024-01-28 05:30:00,161.44,162.07,161.44,162.01,-842.9037925518439,-704.6004703188787,Undefined,0
2024-01-28 06:00:00,162.04,162.04,161.72,161.94,-825.3620942178472,-690.5867101436825,Undefined,0
2024-01-28 06:30:00,161.78,161.78,161.2,161.6,-807.8203958838503,-676.5729499684865,Undefined,0
2024-01-28 07:00:00,161.6,162.4,160.84,161.85,-790.2786975498534,-662.5591897932904,Undefined,0
2024-01-28 07:30:00,161.83,162.44,161.65,161.65,-772.7369992158567,-648.5454296180944,High,162.441
2024-01-28 08:00:00,161.74,161.75,161.34,161.34,-755.1953008818598,-634.5316694428984,Undefined,0
2024-01-28 08:30:00,161.26,161.4,160.41,161.33,-737.6536025478629,-620.5179092677024,Low,160.409
